bond length,HF,QCC-CAS,UCCSD-CAS,CCSD-CAS,FCI-CAS,ecore
-0.1,-224.27876274290026,-224.32763806573735,-224.2789917713634,-224.32753564695852,-224.3276395570476,-219.40864559392833
-0.05,-224.27759892469214,-224.33296422463627,-224.31030485181608,-224.33275552498534,-224.33296726713698,-219.43082079099062
0.0,-224.26333907629834,-224.32454585824027,-224.2782892995743,-224.32418000970458,-224.3245520956185,-219.43802104053958
0.05000000000000002,-224.24046317660012,-224.30618902692095,-224.29221903505527,-224.30560764994792,-224.30620001879052,-219.43443844731573
0.1,-224.21220597354113,-224.28017446333462,-224.27866491331446,-224.27932025060076,-224.28018981345613,-219.42283710022502
0.15,-224.18098036256472,-224.24748885181418,-224.23071937271268,-224.24633937855535,-224.24750670305247,-219.40454652602838
0.20000000000000004,-224.14878892512053,-224.20807740240096,-224.2059477098305,-224.20674185184035,-224.20810051068776,-219.37912862563033
0.25,-224.1176949158471,-224.16244670540985,-224.15656370172175,-224.16127457908615,-224.16246016772328,-219.34458151364396
0.30000000000000004,-224.0901585685006,-224.11688982720196,-224.10760120098453,-224.11625864313126,-224.11689365862745,-219.30257640296782
0.35,-224.06821762159979,-224.0819485042394,-224.08063710292126,-224.0817261934811,-224.08194921012316,-219.26434728508394
