bond length,HF,QCC-CAS,UCCSD-CAS,CCSD-CAS,FCI-CAS,ecore
-0.1,-29.755796458849204,-29.75974870123069,-29.75974870123069,-29.759731501559777,-29.759752113557653,-20.552727481334635
-0.05,-29.757067559258473,-29.76114251113688,-29.76114251113688,-29.76112348790765,-29.761145816214203,-20.571087847115944
0.0,-29.75767323773568,-29.761877716762164,-29.761877716762164,-29.761856547944642,-29.761880690162812,-20.589016497979465
0.05000000000000002,-29.757714996364903,-29.762054100911357,-29.762054100911357,-29.76203090780112,-29.7620570013854,-20.6065578255826
0.1,-29.757281230847347,-29.761759168692727,-29.761759168692727,-29.761734095726055,-29.761762319944072,-20.62374794254863
0.15,-29.75644809031856,-29.761068407514138,-29.761068407514138,-29.76104171438441,-29.761072295200954,-20.64061733820549
0.20000000000000004,-29.755280689032887,-29.760048307055857,-29.760048307055857,-29.760018572962096,-29.760051792261777,-20.657191974838295
0.25,-29.753834415223775,-29.75875108591589,-29.75875108591589,-29.758719797401536,-29.758756043132177,-20.673461737041492
0.30000000000000004,-29.752156198778728,-29.75722550518394,-29.75722550518394,-29.757192420167577,-29.757232102912774,-20.68950797067081
0.35,-29.750285678222838,-29.75551547669705,-29.75551547669705,-29.755475739107645,-29.755519440775565,-20.705315492355506
