pauligate,parameters,energy
ZYXZXX,-0.11196041622665828,-1.8361453471454992
YXZXXZ,-0.13180748511521834,-1.8370202447790334
XYXXXX,-0.05056193412089021,-1.8379058468527238
ZYZZXZ,-0.08187199059760696,-1.8381442064994025
ZZYZZX,-0.007827668613865519,-1.8383861564675155
YZXXZX,0.01908010314174254,-1.8384141369249403
ZYXZXX,0.015451534519090333,-1.8384644177778404
YXZXXZ,0.012129311790000437,-1.8384812494120615
YZZXZZ,-0.003469301111178709,-1.8384888048461618
ZYZZXZ,-0.015887676594992246,-1.8384909046075266
IYZXZX,0.007985371046607648,-1.838499974090398
YIXZXZ,0.007117288211584247,-1.8385047620889816
ZYXZXX,0.002951219303393712,-1.8385085517758561
XYXXXX,-0.0022312839139291074,-1.838509207106956
YXXIZZ,0.005659448675190017,-1.8385096758983968
YZXXZX,-0.0011002706252974245,-1.8385107955734667
YZZXZZ,-0.0008508555912154621,-1.8385109910822113
IZZYXX,0.004193744596071376,-1.8385110893227778
ZYZZXZ,-0.003480212441979559,-1.8385117343006379
IZYXXZ,-0.0006707640562558893,-1.838512205144777
