pauligate,parameters,energy
ZYXZXX,-0.11929987667051424,-1.8117692890769406
YXZXXZ,-0.14498579360116962,-1.8127350787650007
XYXXXX,-0.052042393060585966,-1.8137642639556195
ZYZZXZ,-0.0882543410070945,-1.8140137865147465
ZZYZZX,-0.00895139605780314,-1.8142776764720743
YZXXZX,0.022331616709393758,-1.8143137536729281
ZYXZXX,0.016341653182815514,-1.814379366653948
YZZXZZ,-0.003967067115733212,-1.8143977639352347
ZYZZXZ,-0.018678979721532016,-1.8144004582124358
YXZXXZ,0.012903792625374916,-1.814412267272819
IYZXZX,0.008965421876235025,-1.814420547046207
YIXZXZ,0.008011235459808318,-1.8144262210946496
YZZXZZ,-0.0016717855897905893,-1.8144307695965676
ZYXZXX,0.0035383343032376518,-1.8144312832328684
XYXXXX,-0.0022706254873923627,-1.8144321391160623
ZYZZXZ,-0.005058904364252641,-1.8144326166641982
YXXIZZ,0.0043750832485414705,-1.8144334820309547
ZZYZZX,-0.00029159607158881276,-1.8144341504776036
IZYXXZ,-0.0007110908439369407,-1.8144342117227321
YZXXZX,-0.0007702213222281866,-1.8144343158826446
