pauligate,parameters,energy
ZXZZYZ,-0.6477937059185408,-4.846778133702329
XYXXXX,-0.03198355962479746,-4.900943746015006
XZYXZX,-0.02699766373589587,-4.901262293602481
ZXYZXX,0.025616827185706317,-4.901525727483121
ZZXZZY,-0.00954037780649791,-4.901652194368677
IXZYZX,-0.02294348075002458,-4.9017530892658785
XIYZXZ,0.017683099498111178,-4.901865367953676
ZXYZXX,0.01695031693396446,-4.901947126950109
ZZXZZY,-0.00528126305490919,-4.902002659665815
XYZXXZ,-0.00973747493518763,-4.902033569362627
XZZYZZ,0.004416005113981868,-4.902064149699146
ZXYZXX,0.009413498038355724,-4.902080131883133
ZZXZZY,-0.0030933515093062008,-4.902097284883926
XYXXXX,-0.004913447345700127,-4.902107907289362
XYXIZZ,0.011229629118297219,-4.902115434979542
ZXYZXX,0.005318692784558021,-4.902130744688807
ZZXZZY,-0.0016703574233604248,-4.902136267874009
XYZXXZ,-0.0023371251419730637,-4.9021393532789
XZZYZZ,0.000863281503397337,-4.9021411331622105
ZXYZXX,0.002949692216718693,-4.902141745465538
