pauligate,parameters,energy
ZXZZYZ,-0.5898220465886622,-4.773113402241989
XYXXXX,-0.06609243896985634,-4.814848750606248
XZYXZX,-0.05007294321203934,-4.815649135266572
IXZYZX,-0.06462349448379358,-4.816256545151205
XIYZXZ,0.045682822338560525,-4.816908969474099
XYZXXZ,-0.027172228220041804,-4.817313796657873
XZZYZZ,0.009165126785150494,-4.817441734886095
XYXXXX,-0.02011532823605265,-4.817493605181566
ZXYZXX,0.01825875675518618,-4.817567585209899
ZZXZZY,-0.007348690103490162,-4.8176220260726685
XYXIZZ,0.03532606705372893,-4.817681692035077
ZXYZXX,0.014050278322452418,-4.817763816314149
ZZXZZY,-0.003994538501445918,-4.817796073484953
ZXZZYZ,-0.013517399910720606,-4.817813663247145
ZXYZXX,0.007419415311819377,-4.817836424856596
ZZXZZY,-0.001971334740688194,-4.817845645879266
XZZYZZ,0.0017885172690973161,-4.817849931301933
XYZXXZ,-0.006610048242814246,-4.817851902216699
XZZYZZ,0.0016379076396284033,-4.817859623953461
XZYXZX,0.003982638402009472,-4.817861339220111
